time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.735463	0.629594	7.20081	3.70748e-17	-5.88289e-18	radar	74.7453	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.1605	0.494951	7.20388	-0.127214	-0.0118554	lidar	0.221135	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.25807	0.533066	7.18919	0.122861	0.0306446	radar	1.8248	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.61577	0.595369	7.2026	0.161621	0.0462131	lidar	0.167631	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.85109	0.561771	6.01514	0.024984	-0.23516	radar	7.75045	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.16313	0.591083	6.01468	0.0397078	-0.179213	lidar	0.254648	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.37908	0.636823	5.61699	0.0546424	-0.350755	radar	6.38855	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.65675	0.653724	5.61412	0.0432332	-0.32777	lidar	0.00929769	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.92324	0.647121	5.54996	-0.00531294	-0.484813	radar	0.458568	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.15953	0.642414	5.50623	-0.0188212	-0.448477	lidar	1.21671	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.44489	0.538427	5.53709	-0.166921	-0.860307	radar	1.25395	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.74793	0.426392	5.60003	-0.284605	-1.0767	lidar	2.0516	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.02907	0.510088	5.5603	-0.148863	-0.556974	radar	4.18189	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.3032	0.501738	5.54376	-0.142006	-0.473438	lidar	0.389811	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.56476	0.535679	5.47475	-0.104112	-0.342512	radar	2.20535	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.75671	0.639894	5.32807	-0.00590106	-0.103824	lidar	13.2633	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	5.01007	0.637092	5.27667	-0.0157201	-0.115432	radar	2.2566	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.31102	0.636099	5.31922	-0.0195203	-0.111377	lidar	2.2828	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.56849	0.644367	5.3206	-0.0128338	-0.0888014	radar	1.66538	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.86144	0.662367	5.34766	-0.00272374	-0.0645385	lidar	1.48474	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.10595	0.587679	5.3064	-0.0568083	-0.147342	radar	3.94257	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.36323	0.702154	5.28104	0.0184002	-0.021427	lidar	4.16103	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.61555	0.732472	5.25092	0.0319854	-0.000617801	radar	0.927963	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.86397	0.732634	5.23721	0.0274288	-0.00685306	lidar	0.368378	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.11119	0.714696	5.19044	0.0110651	-0.0303437	radar	3.78253	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.33495	0.799859	5.14876	0.0554757	0.030967	lidar	3.72242	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.62155	0.811424	5.19848	0.0555739	0.0293792	radar	3.54795	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.87146	0.791892	5.18957	0.0395322	0.0073092	lidar	0.566868	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.12459	0.808492	5.1599	0.0420769	0.00883466	radar	2.79322	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.36339	0.827797	5.14073	0.04716	0.014731	lidar	0.698962	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444550000	8.62677	0.913816	5.17285	0.0849766	0.0609342	radar	6.69056	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444600000	8.8639	0.973936	5.1529	0.106782	0.0837121	lidar	1.09484	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
1477010444650000	9.14876	1.01156	5.18719	0.114676	0.0877522	radar	6.45057	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
1477010444700000	9.38575	1.04651	5.16684	0.122005	0.0915502	lidar	0.868346	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
1477010444750000	9.66072	1.11678	5.19606	0.143669	0.111523	radar	4.4864	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873
1477010444800000	9.92937	1.24426	5.2152	0.189999	0.159468	lidar	3.30502	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
1477010444850000	10.1815	1.3322	5.19501	0.216471	0.18271	radar	4.73084	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.4083	1.41542	5.17183	0.239073	0.199189	lidar	1.44671	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6463	1.50117	5.13307	0.262776	0.218633	radar	4.50842	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.875	1.53712	5.10924	0.260697	0.203888	lidar	1.47341	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1373	1.58869	5.126	0.262324	0.192923	radar	1.5974	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.4127	1.63689	5.15011	0.260904	0.179127	lidar	1.61198	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6472	1.69697	5.12317	0.2688	0.179506	radar	1.13281	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8788	1.76364	5.10808	0.278097	0.180272	lidar	0.52615	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1304	1.85148	5.13021	0.292795	0.185429	radar	1.20661	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3735	1.88344	5.1169	0.283162	0.163314	lidar	0.754359	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.626	1.94341	5.13361	0.283739	0.152596	radar	0.944475	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8277	2.07751	5.10815	0.323225	0.190846	lidar	3.61078	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0874	2.17941	5.15255	0.336707	0.191653	radar	3.63701	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2907	2.32088	5.132	0.375125	0.22615	lidar	2.73064	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4786	2.4686	5.07781	0.419711	0.271279	radar	11.0935	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7246	2.58379	5.09595	0.435704	0.273645	lidar	0.719979	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9454	2.6986	5.08424	0.454356	0.28111	radar	0.280254	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1714	2.8505	5.09849	0.485152	0.300242	lidar	0.596595	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4169	2.9553	5.12823	0.485866	0.27782	radar	1.53196	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6258	3.0341	5.09402	0.484833	0.261614	lidar	2.27304	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8535	3.18051	5.12254	0.505056	0.265441	radar	3.98624	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0574	3.37047	5.13611	0.548252	0.299717	lidar	1.28664	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2693	3.53392	5.13712	0.578147	0.319669	radar	2.49223	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4794	3.71982	5.15696	0.612391	0.340049	lidar	0.827119	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6923	3.85314	5.15146	0.621964	0.331416	radar	0.908898	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9121	3.99857	5.15833	0.633626	0.325498	lidar	0.224453	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1097	4.16435	5.14339	0.661561	0.34571	radar	1.74129	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3058	4.35786	5.1598	0.692725	0.360951	lidar	0.491918	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5154	4.51909	5.16963	0.704821	0.352439	radar	0.667298	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6946	4.69145	5.1589	0.727402	0.358556	lidar	0.441476	16.6039	4.67344	16.613	4.5849	3.74	3.28438
